19-3-6 下午12:59
项目统计

     	     片段	     词汇	 字符（无空白）	 字符（含空白）	#Files	
总共：  	1006522	4257057	36375270	38044126	  6142	
剩余：  	 973565	4153753	35750194	37347858	  6142	
独特：  	 251106	1495192	12745031	13643919	  5825	
剩余独特：	 250293	1486339	12700482	13591289	  5824	


单文件统计：

文件名                                                                                                                                               	  总片段	 剩余片段	 独特片段	剩余独特片段	  总计词汇	  剩余词汇	 独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
4.0.1/annotated.html                                                                                                                              	 4958	 4933	 4621	  4608	 30054	 29789	28473	 28376	  236641	   235341	   224519	     223963	  243585	   242046	   230882	     230243	
4.0.1/classes.html                                                                                                                                	 5850	 5849	 1990	  1990	 32550	 32546	 6458	  6458	  209479	   209455	    51677	      51677	  212729	   212702	    54871	      54871	
4.0.1/d0/d01/classcvflann_1_1KNNUniqueResultSet-members.html                                                                                      	   98	   97	   52	    52	   352	   348	  200	   200	    3720	     3696	     2278	       2278	    3815	     3788	     2329	       2329	
4.0.1/d0/d02/classcv_1_1TrackerMOSSE.html                                                                                                         	  245	  209	  141	   123	  1041	   885	  668	   573	    9180	     8280	     5519	       4944	    9548	     8526	     5834	       5182	
4.0.1/d0/d03/classcv_1_1detail_1_1GraphCutSeamFinderBase.html                                                                                     	   61	   57	   39	    39	   225	   207	  163	   163	    2036	     1925	     1506	       1506	    2121	     1996	     1563	       1563	
4.0.1/d0/d03/structcv_1_1cudev_1_1numeric__limits_3_01short_01_4-members.html                                                                     	   40	   39	   15	    15	   200	   196	  107	   107	    1326	     1302	      690	        690	    1374	     1347	      726	        726	
4.0.1/d0/d04/structcv_1_1cudev_1_1less.html                                                                                                       	   65	   61	   32	    31	   305	   294	  198	   197	    2302	     2225	     1481	       1476	    2407	     2323	     1559	       1554	
4.0.1/d0/d05/group__cudaimgproc.html                                                                                                              	  471	  452	  206	   202	  1977	  1950	  947	   941	   16409	    16216	     7082	       7041	   17215	    17014	     7639	       7596	
4.0.1/d0/d05/structcvflann_1_1squareDistance_3_01L2__Simple_3_01ElementType_01_4_00_01ElementType_01_4-members.html                               	   32	   31	    9	     9	   196	   192	   95	    95	    1454	     1430	      732	        732	    1517	     1490	      768	        768	
4.0.1/d0/d06/namespacecv_1_1gapi_1_1own_1_1detail.html                                                                                            	   65	   63	   32	    32	   191	   186	  137	   137	    1369	     1336	      924	        924	    1425	     1389	      968	        968	
4.0.1/d0/d06/structcvflann_1_1UniqueResultSet_1_1DistIndex-members.html                                                                           	   43	   42	   14	    14	   177	   173	   80	    80	    1649	     1625	      790	        790	    1704	     1677	      817	        817	
4.0.1/d0/d07/structcv_1_1cudev_1_1bit__and-members.html                                                                                           	   30	   29	    8	     8	   122	   118	   69	    69	     834	      810	      413	        413	     886	      859	      457	        457	
4.0.1/d0/d07/tutorial_py_table_of_contents_photo.html                                                                                             	   31	   20	   17	     7	   131	    51	  108	    32	     913	      458	      683	        252	    1004	      480	      768	        271	
4.0.1/d0/d08/gapi_2include_2opencv2_2gapi_2cpu_2imgproc_8hpp.html                                                                                 	   51	   46	   28	    26	   165	   134	  121	    96	    1381	     1196	      967	        822	    1434	     1223	     1014	        846	
4.0.1/d0/d08/windows__visual__studio__image__watch_8markdown.html                                                                                 	   17	   16	    3	     3	    57	    53	   34	    34	     597	      573	      367	        367	     622	      595	      386	        386	
4.0.1/d0/d0a/classcv_1_1Tracker.html                                                                                                              	  349	  286	   95	    77	  1334	   989	  329	   201	   11411	     9427	     2606	       1859	   11921	     9651	     2769	       1911	
4.0.1/d0/d0a/namespacecv_1_1flann.html                                                                                                            	  165	  159	  108	   106	   573	   548	  460	   442	    5410	     5268	     4548	       4453	    5570	     5407	     4683	       4570	
4.0.1/d0/d0a/py__knn__index_8markdown.html                                                                                                        	   17	   16	    2	     2	    57	    53	   21	    21	     493	      469	      215	        215	     518	      491	      220	        220	
4.0.1/d0/d0b/classcv_1_1CvFeatureEvaluator.html                                                                                                   	  274	  259	  143	   143	   807	   770	  518	   518	    8294	     8074	     5869	       5869	    8499	     8254	     6010	       6010	
4.0.1/d0/d0d/classcv_1_1GOCLKernelImpl.html                                                                                                       	   72	   69	   35	    35	   264	   246	  155	   155	    2111	     1999	     1277	       1277	    2224	     2097	     1344	       1344	
4.0.1/d0/d0e/structcv_1_1cudev_1_1RGB__to__HSV__FULL__func_3_01float_01_4.html                                                                    	   34	   33	   11	    11	   155	   151	   85	    85	    1124	     1100	      609	        609	    1178	     1151	      628	        628	
4.0.1/d0/d0f/inpainting_8markdown.html                                                                                                            	   17	   16	    2	     2	    57	    53	   21	    21	     515	      491	      237	        237	     540	      513	      242	        242	
4.0.1/d0/d10/classcv_1_1ximgproc_1_1segmentation_1_1SelectiveSearchSegmentationStrategySize.html                                                  	  173	  149	   35	    35	   875	   774	  247	   247	    7849	     7277	     2279	       2279	    8168	     7518	     2374	       2374	
4.0.1/d0/d13/classcv_1_1Feature2D.html                                                                                                            	  663	  621	  222	   222	  2368	  2236	 1018	  1018	   20225	    19411	     8699	       8699	   21218	    20313	     9134	       9134	
4.0.1/d0/d17/py__kmeans__understanding_8markdown.html                                                                                             	   17	   16	    2	     2	    59	    55	   23	    23	     569	      545	      291	        291	     594	      567	      296	        296	
4.0.1/d0/d17/structcv_1_1detail_1_1GTypeTraits_3_01cv_1_1GMat_01_4.html                                                                           	   58	   57	   28	    28	   271	   267	  169	   169	    2314	     2290	     1325	       1325	    2395	     2368	     1374	       1374	
4.0.1/d0/d18/classcv_1_1TrackerFeature-members.html                                                                                               	   56	   55	   19	    19	   202	   198	   99	    99	    1779	     1755	      948	        948	    1835	     1808	      980	        980	
4.0.1/d0/d18/structcv_1_1detail_1_1CameraParams-members.html                                                                                      	   65	   64	   24	    24	   281	   277	  127	   127	    2340	     2316	     1180	       1180	    2381	     2354	     1199	       1199	
